timestamp,open,high,low,close,volume
2019-01-01,3691.0,3786.5,3622.0,3697.0,3998048
2019-01-02,3697.0,3854.5,3634.0,3831.0,6476462
2019-01-03,3831.0,3914.5,3807.5,3833.5,5587564
2019-01-04,3833.5,3841.5,3724.5,3747.0,5684457
2019-01-05,3747.0,3882.0,3738.0,3828.0,7477770
2019-01-06,3828.0,3851.0,3754.0,3818.0,8720027
2019-01-07,3818.0,4083.0,3818.0,4025.0,6949392
2019-01-08,4025.0,4069.0,3944.0,4050.0,9529621
2019-01-09,4050.0,4115.0,3954.5,3990.0,8767400
2019-01-10,3990.0,4035.0,3752.0,3778.5,11117536
2019-01-11,3778.5,3784.0,3493.0,3641.0,11425753
2019-01-12,3641.0,3691.5,3558.0,3624.5,9209041
2019-01-13,3624.5,3646.0,3587.0,3608.5,8202758
2019-01-14,3608.5,3612.0,3482.5,3534.5,11603918
2019-01-15,3534.5,3712.5,3534.5,3656.0,10770652
2019-01-16,3656.0,3669.5,3542.5,3619.5,8725317
2019-01-17,3619.5,3634.5,3547.0,3588.5,8233543
2019-01-18,3588.5,3660.0,3587.5,3603.5,7131098
2019-01-19,3603.5,3776.0,3576.0,3708.5,8776667
2019-01-20,3708.5,3715.5,3461.5,3517.5,10759662
2019-01-21,3517.5,3570.5,3501.5,3530.5,7517528
2019-01-22,3530.5,3575.0,3418.0,3563.5,10058691
2019-01-23,3563.5,3614.5,3534.5,3565.0,8459484
2019-01-24,3565.0,3573.0,3522.0,3561.0,8019331
2019-01-25,3561.0,3587.5,3503.5,3549.5,7694736
2019-01-26,3549.5,3665.5,3536.5,3580.0,8149100
2019-01-27,3580.0,3580.0,3470.0,3534.0,7912042
2019-01-28,3534.0,3553.5,3385.5,3415.0,8876424
2019-01-29,3415.0,3438.5,3344.0,3403.0,7621775
2019-01-30,3403.0,3455.5,3372.5,3436.0,3243312
2019-01-31,3436.0,3468.5,3389.0,3407.0,3202738
2019-02-01,3407.0,3441.0,3375.5,3432.0,2243987
2019-02-02,3432.0,3460.0,3413.5,3438.0,2037592
2019-02-03,3438.0,3483.5,3405.5,3422.0,2630946
2019-02-04,3422.0,3435.0,3385.5,3405.0,7260431
2019-02-05,3405.0,3429.5,3396.5,3417.5,7301132
2019-02-06,3417.5,3440.5,3352.5,3360.0,7041880
2019-02-07,3360.0,3376.5,3334.5,3363.5,6456668
2019-02-08,3363.5,3409.5,3344.0,3408.0,7217090
2019-02-09,3408.0,3716.5,3405.0,3622.0,7526466
2019-02-10,3622.0,3633.0,3577.0,3589.5,6602207
2019-02-11,3589.5,3658.0,3585.5,3607.5,6790544
2019-02-12,3607.5,3607.5,3544.5,3575.0,6906501
2019-02-13,3575.0,3624.5,3558.5,3574.0,6445966
2019-02-14,3574.0,3588.0,3535.5,3561.5,7486832
2019-02-15,3561.5,3610.0,3542.0,3559.0,7140642
2019-02-16,3559.0,3607.0,3547.5,3595.5,7052233
2019-02-17,3595.5,3680.5,3558.0,3574.0,7528227
2019-02-18,3574.0,3822.0,3567.0,3800.0,9099825
2019-02-19,3800.0,3969.0,3781.0,3932.5,8901376
2019-02-20,3932.5,3960.5,3868.5,3916.0,8136079
2019-02-21,3916.0,3960.0,3865.0,3898.5,8967404
2019-02-22,3898.5,3950.5,3875.5,3940.0,8306673
2019-02-23,3940.0,3949.0,3913.5,3929.5,8080718
2019-02-24,3929.5,4186.5,3700.0,3784.0,14097691
