timestamp,open,high,low,close,volume
2023/12/07 08:30,43735,43789.5,43733,43778,1568467
2023/12/07 08:35,43778,43778,43733,43775,259459
2023/12/07 08:40,43775,43813,43734,43813,341043
2023/12/07 08:45,43813,43833,43786.5,43820,321975
2023/12/07 08:50,43820,43827.5,43730.5,43741.5,1280326
2023/12/07 08:55,43741.5,43805.5,43730.5,43780.5,539478
2023/12/07 09:00,43780.5,43816,43732.5,43745,2202406
2023/12/07 09:05,43745,43812,43745,43777.5,767440
2023/12/07 09:10,43777.5,43779,43725.5,43764.5,763022
2023/12/07 09:15,43764.5,43814,43764,43807.5,624239
2023/12/07 09:20,43807.5,43855,43801.5,43855,594600
2023/12/07 09:25,43855,43865,43825.5,43860,492663
2023/12/07 09:30,43860,43877,43860,43877,449899
2023/12/07 09:35,43877,43904,43860.5,43865.5,799315
2023/12/07 09:40,43865.5,43895,43860.5,43895,340876
2023/12/07 09:45,43895,43910,43871,43871.5,1500099
2023/12/07 09:50,43871.5,43927,43871.5,43890.5,966292
2023/12/07 09:55,43890.5,43910.5,43821.5,43839.5,429631
2023/12/07 10:00,43839.5,43894,43839,43894,520542
2023/12/07 10:05,43894,43931,43875,43920.5,466830
2023/12/07 10:10,43920.5,43939,43909,43930.5,300080
2023/12/07 10:15,43930.5,43935.5,43896.5,43920,158759
2023/12/07 10:20,43920,43931,43897,43928.5,154801
2023/12/07 10:25,43928.5,43935.5,43914,43919.5,119831
2023/12/07 10:30,43919.5,43946,43901.5,43932,915596
2023/12/07 10:35,43932,43932,43851.5,43928.5,1404021
2023/12/07 10:40,43928.5,43932,43914,43914,481591
2023/12/07 10:45,43914,43949,43862.5,43900.5,1888225
2023/12/07 10:50,43900.5,43925.5,43900,43925.5,64927
2023/12/07 10:55,43925.5,43967,43925.5,43950,724627
2023/12/07 11:00,43950,43967,43927.5,43953.5,483560
2023/12/07 11:05,43953.5,43967.5,43943,43958.5,175373
2023/12/07 11:10,43958.5,43965,43950,43957,98613
2023/12/07 11:15,43957,43967.5,43936.5,43967,226483
2023/12/07 11:20,43967,43973,43955.5,43969.5,240723
2023/12/07 11:25,43969.5,43969.5,43957.5,43969,117246
2023/12/07 11:30,43969,43997,43969,43997,995921
2023/12/07 11:35,43997,44017.5,43991,44002,921307
2023/12/07 11:40,44002,44004,43953.5,44002,1360555
2023/12/07 11:45,44002,44004,43933.5,43959.5,1204212
2023/12/07 11:50,43959.5,43988,43958,43958.5,1461285
